School Name,latitude,longitude,n,nfree,free,noneparent,oneparent,nlimeng,limeng,schoolLevel
BALLARD,47.6766886,-122.3754977,1609,313,0.195,539,33.50%,45,2.80%,High School
CLEVELAND,47.5524677,-122.313982,838,592,0.706,395,47.10%,100,11.90%,High School
FRANKLIN,47.5761302,-122.2930019,1445,981,0.679,648,44.80%,271,18.80%,High School
GARFIELD,47.6051928,-122.3017983,1669,640,0.383,629,37.70%,134,8.00%,High School
INGRAHAM,47.7261192,-122.3377336,1018,398,0.391,404,39.70%,71,7.00%,High School
NATHAN HALE,47.7078924,-122.2947188,1171,342,0.292,365,31.20%,86,7.30%,High School
NOVA,47.6083343,-122.3008697,340,98,0.288,180,52.90%,0,0.00%,High School
RAINIER BEACH,47.5245855,-122.2664156,407,297,0.73,255,62.70%,113,27.80%,High School
ROOSEVELT,47.6771503,-122.3127382,1691,269,0.159,404,23.90%,74,4.40%,High School
SEALTH INTL,47.5299424,-122.3662146,1275,733,0.575,609,47.80%,157,12.30%,High School
THE CENTER SCHOOL,47.6218875,-122.3472124,285,52,0.182,111,38.90%,2,0.70%,High School
WEST SEATTLE,47.5766715,-122.3845565,968,387,0.4,420,43.40%,73,7.50%,High School
